기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026371156455315285
2016/09,0.0,0.0,0.0,0.06559751956491952,0.0,0.0,0.0,0.0,0.0,0.0,0.026371156455315285
2016/10,0.0,0.0,0.045442459847899096,0.06559751956491952,0.0,0.0,0.10074616119008338,0.0,0.0,0.0,0.026371156455315285
2016/11,0.0,0.250070120972025,0.07573743307983183,0.08746335941989268,0.04480163974968945,0.0,0.26194001909421677,0.0,0.16380108709016128,0.0,0.026371156455315285
2016/12,0.0,0.6251753024300625,0.5604570047907557,0.3498534376795707,0.13440491924906836,0.0,0.7992528787746614,0.08464228787338154,0.16380108709016128,0.0,0.026371156455315285
2017/01,5.688279809048431,3.063358981907306,6.467976785017639,4.13264373258993,3.404924620976398,2.472792216579776,6.152232243341091,2.2853417725813014,1.9656130450819356,1.4093841910631655,0.6329077549275668
2017/02,6.930547813323375,4.626297237982462,8.194790259237806,6.188032678957408,6.003419726458387,4.228474690351417,9.49700479485186,4.062829817922314,3.1122206547130644,2.6174277834030217,1.3185578227657642
2017/03,7.7478293950832064,5.626577721870563,9.694391434218474,7.259458831851093,6.944254161201865,5.8357896311282715,11.77050983237474,5.586390999643182,3.603623915983548,3.6241307770195683,2.0042078906039613
2017/04,8.467037187031858,6.876928326730687,10.376028331936963,8.571409223149484,7.929890235695033,7.07218573941816,12.801478881886593,5.924960151136708,4.095027177254033,3.8254713757428775,3.322765713369726
2017/05,8.957406136087757,7.377068568674737,11.193992609199146,9.402311137638463,8.557113192190686,8.580588991531823,13.953343324826548,6.432813878376997,4.095027177254033,4.228152573189496,5.933510202445939
2017/06,9.643922664766016,7.814691280375781,11.557532287982339,10.451871450677176,8.825923030688822,9.990080554982296,14.991028785084406,7.025309893490668,4.914032612704839,4.429493171912806,9.361760541636926
