기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0.0,0.0,0.0,0.0,0.0,0.0,0.06620452319739668,0.0,0.0,0.0,0.0
2016/04,0.0,0.0,0.0,0.0,0.0,0.0,0.06841134063730991,0.0,0.0,0.0,0.0
2016/05,0.0,0.0,0.0,0.0,0.0,0.0,0.2206817439913223,0.0,0.0,0.0,0.0
2016/06,0.0,0.0,0.0,0.0,0.0,0.0,0.38839986942472726,0.0,0.0,0.0,0.0
2016/07,0.0,0.0,0.0,0.0,0.0,0.0,0.46563847982169004,0.0,0.0,0.0,0.0
2016/08,0.0,0.02428170469717389,0.0,0.0,0.0,0.0,0.5958407087765702,0.0,0.0,0.0,0.0
2016/09,0.0,0.04856340939434778,0.0,0.0,0.0,0.0,0.6973543110125785,0.0,0.0,0.0,0.0
2016/10,0.0,0.2549578993203258,0.050776945725599834,0.024207522408699153,0.0,0.0,0.9224496898837272,0.0,0.0,0.0,0.0
2016/11,0.09959519010274205,0.9348456308411947,0.49507522082459837,0.19366017926959322,0.0,0.34847407933410274,1.4675335975422934,0.0,0.0,0.0,0.0
2016/12,0.3983807604109682,2.1610717180484755,3.757493983694388,0.7504331946696737,1.158920054517338,0.8814344359627306,3.107198955397818,0.16832466589698342,0.014593356017819642,0.0,0.02324455838999177
2017/01,0.9959519010274206,4.152171503216734,6.11862195993478,1.597696478974144,2.13632251013437,1.6808749709056723,4.857205185249003,0.5470551641651961,0.06202176307573348,0.45533246607778943,0.1404161078252564
2017/02,1.5437254465925019,6.070426174293471,7.7054015138597745,2.4691672856873135,2.9601331512972973,2.931281961457453,6.715345469655938,1.0520291618561464,0.5436025116637816,1.2326171808974502,0.5241885106314471
2017/03,2.6392725377226642,7.7822863554442305,9.26679259492197,3.8247885405744664,4.105090313591535,4.694150833382913,8.818442489893238,1.8936524913410633,1.7220160101027178,2.391645276368187,2.3192376728299955
2017/04,3.8842124140069396,9.008512442651512,10.256943036571167,5.543522631592105,5.976117871486996,6.743998358877636,10.824439542774359,3.324412151465422,5.687760507945206,4.410745807763637,7.041203677196894
2017/05,5.378140265548072,10.52611898622488,11.209010768926163,7.383294334653241,8.684918962768485,8.527365706058045,13.534411358987796,5.849282139920174,9.350692868417935,8.30176869970111,12.804905400429549
2017/06,7.619032042859767,11.667359106992052,11.780251408339161,9.610386396253563,10.97483328735696,10.167243726453822,15.47420388867152,8.037502796580958,14.005973438102401,13.374816276305168,18.665380387163392
