x,y
0,0
0.125,0
0.25,0.000591132
0.375,0.013004915
0.5,0.213989963
0.625,0.615960059
0.75,4.322360796
0.875,11.11033522
1,18.07446714
0,0
0.143,0
0.286,0.166755701
0.429,1.926954768
0.572,4.141099911
0.715,6.522000755
0.858,9.403168702
1,11.99714628
0,0
0.143,0
0.286,0.091974223
0.429,1.241652013
0.572,2.575278248
0.715,4.000878707
0.858,6.300234286
1,7.955770303
0,0
0.083,0
0.166,0.156682613
0.249,0.309634688
0.332,0.503622686
0.415,0.738646606
0.498,0.962478911
0.581,1.171389062
0.644,1.432526751
0.727,3.03665827
0.81,6.207615922
0.893,10.1769088
1,13.96340529
0,0
0.083,0
0.166,0.220106527
0.249,0.324367514
0.332,0.405459393
0.415,0.463382163
0.498,0.486551271
0.581,0.579227704
0.644,0.648735028
0.727,0.99627165
0.81,5.734354266
0.893,9.174966826
1,11.39920121
0,0
0.083,0
0.166,0.071991452
0.249,0.095988603
0.332,0.131984329
0.415,0.287965809
0.498,0.347958685
0.581,0.407951562
0.644,0.503940165
0.727,0.983883179
0.81,5.615333267
0.893,8.746961435
1,11.30265799
0,0
0.166,0
0.332,0.351965904
0.498,0.612681388
0.664,2.424654002
0.83,6.361457813
1,10.83272837
0,0
0.125,0
0.25,0.023244558
0.375,0.140416108
0.5,0.524188511
0.625,2.319237673
0.75,7.041203677
0.875,12.8049054
1,18.66538039
0,0
0.1,0
0.2,0.050776946
0.3,0.495075221
0.4,3.757493984
0.5,6.11862196
0.6,7.705401514
0.7,9.266792595
0.8,10.25694304
0.9,11.20901077
1,11.78025141
0,0
0.083333333,0
0.166666667,0.024281705
0.25,0.048563409
0.333333333,0.254957899
0.416666667,0.934845631
0.5,2.161071718
0.583333333,4.152171503
0.666666667,6.070426174
0.75,7.782286355
0.833333333,9.008512443
0.916666667,10.52611899
1,11.66735911
0,0
0.076923077,0
0.153846154,0.120130142
0.230769231,0.600650708
0.307692308,1.531659305
0.384615385,2.883123398
0.461538462,3.844164531
0.538461538,5.105531018
0.615384615,6.00650708
0.692307692,7.147743425
0.769230769,7.83849174
0.846153846,8.349044841
0.923076923,9.039793156
1,9.550346257
0,0
0.090909091,0
0.181818182,0.254189084
0.272727273,1.025521477
0.363636364,1.866974997
0.454545455,3.357048938
0.545454545,4.715645766
0.636363636,6.091772876
0.727272727,7.467899987
0.818181818,9.273518997
0.909090909,11.11419857
1,12.35884857
0,0
0.1,0
0.2,0.081275418
0.3,0.719867991
0.4,2.55437029
0.5,3.976690111
0.6,5.166794451
0.7,6.664584303
0.8,9.277008464
0.9,11.48305553
1,13.26530935
0,0
0.090909091,0
0.181818182,0.118646996
0.272727273,0.332211589
0.363636364,1.186469961
0.454545455,2.539045717
0.545454545,4.556044651
0.636363636,5.884891008
0.727272727,7.261196163
0.818181818,8.471395523
0.909090909,9.254465697
1,10.10872407
0,0
0.1,0
0.2,0.100746161
0.3,0.261940019
0.4,0.799252879
0.5,6.152232243
0.6,9.497004795
0.7,11.77050983
0.8,12.80147888
0.9,13.95334332
1,14.99102879
0,0
0.1,0
0.2,0.04544246
0.3,0.075737433
0.4,0.560457005
0.5,6.467976785
0.6,8.194790259
0.7,9.694391434
0.8,10.37602833
0.9,11.19399261
1,11.55753229
0,0
0.142857143,0
0.285714286,5.688279809
0.428571429,6.930547813
0.571428571,7.747829395
0.714285714,8.467037187
0.857142857,8.957406136
1,9.643922665
0,0
0.090909091,0
0.181818182,0.06559752
0.272727273,0.06559752
0.363636364,0.087463359
0.454545455,0.349853438
0.545454545,4.132643733
0.636363636,6.188032679
0.727272727,7.259458832
0.818181818,8.571409223
0.909090909,9.402311138
1,10.45187145
0,0
0.111111111,0
0.222222222,0.04480164
0.333333333,0.134404919
0.444444444,3.404924621
0.555555556,6.003419726
0.666666667,6.944254161
0.777777778,7.929890236
0.888888889,8.557113192
1,8.825923031
